group,time,survival
Medium risk,307.9333333,0.5407737102307538
High risk,0.0,1.0
High risk,0.0,1.0
High risk,1.4333333330000002,1.0
High risk,2.5333333330000003,1.0
High risk,5.5,0.9919354838709677
High risk,5.833333333,0.9838709677419355
High risk,9.833333333,0.9758064516129032
High risk,10.06666667,0.967741935483871
High risk,12.26666667,0.9596774193548387
High risk,14.43333333,0.9516129032258065
High risk,14.7,0.9435483870967742
High risk,15.53333333,0.9435483870967742
High risk,15.7,0.9354143492769745
High risk,15.86666667,0.9272803114571748
High risk,16.73333333,0.919146273637375
High risk,17.2,0.9110122358175752
High risk,18.83333333,0.9028781979977755
High risk,19.83333333,0.8947441601779756
High risk,21.16666667,0.8866101223581759
High risk,21.3,0.8784760845383762
High risk,21.93333333,0.8703420467185764
High risk,22.66666667,0.8622080088987766
High risk,23.93333333,0.8540739710789768
High risk,24.86666667,0.845939933259177
High risk,24.9,0.8378058954393773
High risk,26.73333333,0.8296718576195775
High risk,26.76666667,0.8215378197997778
High risk,27.4,0.813403781979978
High risk,27.46666667,0.8052697441601782
High risk,28.56666667,0.7971357063403784
High risk,31.06666667,0.7890016685205786
High risk,31.16666667,0.7890016685205786
High risk,32.83333333,0.7807829011401559
High risk,34.66666667,0.7725641337597332
High risk,34.7,0.7643453663793105
High risk,35.03333333,0.7561265989988878
High risk,36.16666667,0.7479078316184651
High risk,36.43333333,0.7396890642380424
High risk,37.8,0.7314702968576197
High risk,38.13333333,0.723251529477197
High risk,40.7,0.7150327620967742
High risk,41.16666667,0.7150327620967742
High risk,43.13333333,0.7067184276537885
High risk,43.4,0.6984040932108028
High risk,44.4,0.6900897587678171
High risk,44.63333333,0.6900897587678171
High risk,44.8,0.6816740300023559
High risk,46.16666667,0.6732583012368947
High risk,46.66666667,0.6648425724714335
High risk,47.13333333,0.6564268437059724
High risk,47.9,0.6480111149405112
High risk,48.43333333,0.6395953861750501
High risk,49.23333333,0.6311796574095888
High risk,52.46666667,0.6227639286441277
High risk,53.36666667,0.6143481998786665
High risk,58.13333333,0.6143481998786665
High risk,58.93333333,0.6058155859914628
High risk,60.66666667,0.6058155859914628
High risk,62.53333333,0.5971610776201562
High risk,64.86666667,0.5885065692488497
High risk,65.13333333,0.5798520608775432
High risk,68.06666667,0.5711975525062365
High risk,73.13333333,0.5711975525062365
High risk,74.46666667,0.5711975525062365
High risk,75.23333333,0.5622725907483266
High risk,78.76666667,0.5622725907483266
High risk,79.1,0.5532036779943214
High risk,82.1,0.5532036779943214
High risk,85.33333333,0.5532036779943214
High risk,86.53333333,0.543827344468994
High risk,87.0,0.5344510109436664
High risk,88.93333333,0.5250746774183389
High risk,89.53333333,0.5156983438930114
High risk,89.8,0.5156983438930114
High risk,93.5,0.5156983438930114
High risk,98.26666667,0.5156983438930114
High risk,98.56666667,0.5156983438930114
High risk,98.76666667,0.5055866116598151
High risk,101.6333333,0.4954748794266188
High risk,102.1,0.4954748794266188
High risk,104.0333333,0.4954748794266188
High risk,107.0666667,0.4954748794266188
High risk,108.3,0.4954748794266188
High risk,109.76666670000002,0.4954748794266188
High risk,110.1,0.4954748794266188
High risk,112.4,0.4954748794266188
High risk,114.6,0.4954748794266188
High risk,116.53333329999998,0.4954748794266188
High risk,122.0,0.4830880074409533
